"hotel_id","price","offer","offer_cat","year","month","weekend","holiday","nnights","scarce_room"
1,172,0,"0% no offer",2017,11,1,0,1,0
1,122,1,"15-50% offer",2018,1,1,0,1,0
1,122,1,"15-50% offer",2017,12,0,1,1,0
1,552,1,"1-15% offer",2017,12,0,1,4,0
1,122,1,"15-50% offer",2018,2,1,0,1,0
1,114,1,"15-50% offer",2017,11,0,0,1,0
2,119,0,"0% no offer",2017,11,0,0,1,0
2,119,0,"0% no offer",2017,12,0,1,1,0
2,547,0,"0% no offer",2017,12,0,1,4,0
3,118,1,"15-50% offer",2017,12,0,1,1,0
3,217,0,"0% no offer",2017,11,1,0,1,1
3,114,1,"15-50% offer",2018,1,1,0,1,0
3,737,1,"1-15% offer",2017,12,0,1,4,0
3,117,1,"15-50% offer",2017,11,0,0,1,0
4,115,1,"15-50% offer",2017,12,0,1,1,0
4,71,1,"50%-75% offer",2017,11,0,0,1,0
5,696,1,"15-50% offer",2018,4,1,0,1,1
5,922,0,"0% no offer",2018,1,1,0,1,1
5,922,0,"0% no offer",2017,11,1,0,1,1
5,922,0,"0% no offer",2018,3,1,0,1,1
5,922,0,"0% no offer",2018,2,1,0,1,1
5,690,1,"15-50% offer",2017,11,0,0,1,1
5,696,1,"15-50% offer",2018,5,1,0,1,1
5,3087,1,"15-50% offer",2017,12,0,1,4,1
5,696,1,"15-50% offer",2018,6,1,0,1,1
5,690,1,"15-50% offer",2017,12,0,1,1,1
6,216,1,"50%-75% offer",2018,2,1,0,1,0
6,127,1,"50%-75% offer",2017,11,0,0,1,0
6,127,1,"50%-75% offer",2017,12,0,1,1,0
6,216,1,"50%-75% offer",2018,1,1,0,1,0
6,324,1,"15-50% offer",2018,3,1,0,1,0
6,186,1,"50%-75% offer",2017,11,1,0,1,0
6,745,1,"50%-75% offer",2017,12,0,1,4,0
7,228,1,"1-15% offer",2018,2,1,0,1,1
7,167,1,"15-50% offer",2017,11,0,0,1,1
7,177,1,"15-50% offer",2017,12,0,1,1,1
7,187,1,"15-50% offer",2018,1,1,0,1,1
8,987,0,"0% no offer",2017,12,0,1,4,0
8,207,0,"0% no offer",2017,12,0,1,1,0
9,210,1,"15-50% offer",2018,2,1,0,1,0
9,1145,1,"1-15% offer",2017,12,0,1,4,1
9,218,1,"1-15% offer",2017,11,0,0,1,1
9,218,1,"15-50% offer",2018,1,1,0,1,0
9,375,1,"1-15% offer",2018,6,1,0,1,0
9,197,1,"1-15% offer",2017,12,0,1,1,0
9,422,1,"1-15% offer",2018,5,1,0,1,0
9,328,1,"1-15% offer",2017,11,1,0,1,1
9,521,1,"1-15% offer",2018,4,1,0,1,0
10,143,0,"0% no offer",2017,11,0,0,1,1
10,1050,0,"0% no offer",2017,12,0,1,4,1
11,97,1,"15-50% offer",2017,11,0,0,1,0
11,167,0,"0% no offer",2017,11,1,0,1,0
11,105,1,"15-50% offer",2018,1,1,0,1,0
11,117,1,"15-50% offer",2018,2,1,0,1,0
11,100,1,"15-50% offer",2017,12,0,1,1,0
11,469,1,"1-15% offer",2017,12,0,1,4,0
12,167,1,"15-50% offer",2018,1,1,0,1,0
12,185,1,"1-15% offer",2018,6,1,0,1,0
12,92,1,"50%-75% offer",2017,11,0,0,1,0
12,185,1,"1-15% offer",2018,4,1,0,1,0
12,185,1,"1-15% offer",2018,3,1,0,1,0
12,185,1,"1-15% offer",2018,5,1,0,1,0
12,752,1,"1-15% offer",2017,12,0,1,4,0
12,167,1,"15-50% offer",2018,2,1,0,1,0
12,157,1,"15-50% offer",2017,12,0,1,1,0
13,802,0,"0% no offer",2017,12,0,1,4,1
14,130,1,"15-50% offer",2017,11,0,0,1,1
14,156,1,"15-50% offer",2018,2,1,0,1,0
14,156,1,"15-50% offer",2018,1,1,0,1,0
14,777,1,"15-50% offer",2017,12,0,1,4,0
14,141,1,"15-50% offer",2017,12,0,1,1,0
15,184,1,"15-50% offer",2018,1,1,0,1,0
15,773,1,"15-50% offer",2017,12,0,1,4,0
15,399,0,"0% no offer",2018,3,1,0,1,1
15,387,0,"0% no offer",2018,6,1,0,1,1
15,387,0,"0% no offer",2018,5,1,0,1,1
15,132,1,"15-50% offer",2017,11,0,0,1,0
15,161,1,"15-50% offer",2017,12,0,1,1,0
15,341,0,"0% no offer",2018,2,1,0,1,1
15,387,0,"0% no offer",2018,4,1,0,1,1
16,207,1,"50%-75% offer",2017,11,0,0,1,0
16,207,1,"50%-75% offer",2018,2,1,0,1,0
16,254,1,"50%-75% offer",2018,6,1,0,1,0
16,300,1,"15-50% offer",2018,4,1,0,1,0
16,924,1,"50%-75% offer",2017,12,0,1,4,0
16,300,1,"15-50% offer",2018,5,1,0,1,0
16,196,1,"50%-75% offer",2018,1,1,0,1,0
16,207,1,"50%-75% offer",2017,12,0,1,1,0
16,242,1,"50%-75% offer",2017,11,1,0,1,0
16,300,1,"15-50% offer",2018,3,1,0,1,0
17,134,1,"75%+ offer",2017,12,0,1,1,0
17,172,1,"50%-75% offer",2017,11,0,0,1,0
17,433,1,"15-50% offer",2018,6,1,0,1,0
17,208,1,"50%-75% offer",2017,11,1,0,1,0
17,505,1,"75%+ offer",2017,12,0,1,4,0
17,242,1,"50%-75% offer",2018,5,1,0,1,0
17,302,1,"15-50% offer",2018,4,1,0,1,0
17,235,1,"50%-75% offer",2018,3,1,0,1,0
17,202,1,"50%-75% offer",2018,2,1,0,1,0
17,179,1,"50%-75% offer",2018,1,1,0,1,0
18,590,1,"1-15% offer",2017,12,0,1,4,1
18,139,1,"75%+ offer",2018,2,1,0,1,1
18,91,1,"75%+ offer",2017,11,0,0,1,0
18,139,1,"75%+ offer",2018,1,1,0,1,1
18,128,1,"75%+ offer",2017,12,0,1,1,1
19,219,1,"15-50% offer",2017,11,1,0,1,0
19,207,1,"15-50% offer",2018,1,1,0,1,0
19,289,1,"1-15% offer",2018,3,1,0,1,0
19,156,1,"50%-75% offer",2017,12,0,1,1,0
19,231,1,"15-50% offer",2018,2,1,0,1,0
19,149,1,"50%-75% offer",2017,11,0,0,1,0
19,277,1,"1-15% offer",2018,5,1,0,1,0
19,277,1,"1-15% offer",2018,4,1,0,1,0
19,819,1,"1-15% offer",2017,12,0,1,4,0
20,114,0,"0% no offer",2018,2,1,0,1,0
20,102,0,"0% no offer",2017,12,0,1,1,0
20,114,0,"0% no offer",2018,6,1,0,1,0
20,114,0,"0% no offer",2018,1,1,0,1,0
20,102,0,"0% no offer",2017,11,0,0,1,0
21,114,1,"15-50% offer",2018,1,1,0,1,0
21,242,0,"0% no offer",2018,6,1,0,1,0
21,97,1,"15-50% offer",2017,12,0,1,1,0
21,540,1,"1-15% offer",2017,12,0,1,4,0
21,242,0,"0% no offer",2018,5,1,0,1,0
21,231,0,"0% no offer",2018,4,1,0,1,0
21,103,1,"15-50% offer",2017,11,0,0,1,0
21,138,1,"1-15% offer",2018,2,1,0,1,0
22,153,1,"15-50% offer",2017,11,0,0,1,0
22,175,1,"15-50% offer",2017,11,1,0,1,0
22,186,1,"15-50% offer",2018,5,1,0,1,0
22,142,1,"15-50% offer",2018,1,1,0,1,0
22,653,1,"15-50% offer",2017,12,0,1,4,0
22,142,1,"15-50% offer",2018,2,1,0,1,0
22,134,1,"15-50% offer",2017,12,0,1,1,0
23,244,1,"15-50% offer",2017,11,1,0,1,0
23,191,1,"50%-75% offer",2017,11,0,0,1,0
23,169,1,"50%-75% offer",2017,12,0,1,1,1
23,212,1,"15-50% offer",2018,2,1,0,1,1
23,940,1,"15-50% offer",2017,12,0,1,4,1
23,191,1,"50%-75% offer",2018,1,1,0,1,1
24,184,0,"0% no offer",2017,11,1,0,1,0
24,277,0,"0% no offer",2018,5,1,0,1,0
24,172,0,"0% no offer",2018,1,1,0,1,0
24,289,0,"0% no offer",2018,4,1,0,1,0
24,681,0,"0% no offer",2017,12,0,1,4,0
24,184,0,"0% no offer",2018,2,1,0,1,0
24,207,0,"0% no offer",2017,11,0,0,1,0
24,358,0,"0% no offer",2018,6,1,0,1,0
24,186,0,"0% no offer",2017,12,0,1,1,0
24,242,0,"0% no offer",2018,3,1,0,1,0
25,445,1,"15-50% offer",2017,12,0,1,4,1
25,101,1,"15-50% offer",2018,2,1,0,1,0
25,99,1,"15-50% offer",2018,1,1,0,1,0
25,128,1,"15-50% offer",2017,12,0,1,1,1
25,66,1,"50%-75% offer",2017,11,0,0,1,1
26,229,1,"15-50% offer",2018,4,1,0,1,0
26,219,1,"15-50% offer",2018,3,1,0,1,0
26,135,1,"50%-75% offer",2018,2,1,0,1,0
26,193,1,"15-50% offer",2018,5,1,0,1,0
26,118,1,"50%-75% offer",2018,1,1,0,1,0
26,111,1,"50%-75% offer",2017,12,0,1,1,0
26,568,1,"50%-75% offer",2017,12,0,1,4,0
26,156,1,"15-50% offer",2017,11,0,0,1,0
26,177,1,"15-50% offer",2017,11,1,0,1,0
27,207,0,"0% no offer",2018,6,1,0,1,0
27,176,0,"0% no offer",2017,11,1,0,1,0
27,124,0,"0% no offer",2017,12,0,1,1,0
27,134,0,"0% no offer",2018,1,1,0,1,0
27,633,0,"0% no offer",2017,12,0,1,4,0
27,134,0,"0% no offer",2018,2,1,0,1,0
27,197,0,"0% no offer",2018,5,1,0,1,0
27,94,0,"0% no offer",2017,11,0,0,1,0
27,364,0,"0% no offer",2018,4,1,0,1,0
28,126,1,"15-50% offer",2018,2,1,0,1,0
28,114,1,"50%-75% offer",2017,12,0,1,1,0
28,138,1,"15-50% offer",2018,1,1,0,1,0
28,533,1,"15-50% offer",2017,12,0,1,4,0
28,126,1,"15-50% offer",2017,11,1,0,1,0
28,138,1,"15-50% offer",2017,11,0,0,1,0
29,176,1,"15-50% offer",2018,2,1,0,1,0
29,197,1,"15-50% offer",2018,5,1,0,1,0
29,748,1,"15-50% offer",2017,12,0,1,4,0
29,155,1,"50%-75% offer",2018,1,1,0,1,0
29,145,1,"50%-75% offer",2018,6,1,0,1,0
29,176,1,"15-50% offer",2017,12,0,1,1,0
30,164,1,"1-15% offer",2017,12,0,1,1,0
30,175,1,"1-15% offer",2018,6,1,0,1,1
30,153,1,"15-50% offer",2018,1,1,0,1,0
30,164,1,"1-15% offer",2017,11,0,0,1,0
30,208,0,"0% no offer",2017,11,1,0,1,1
30,197,0,"0% no offer",2018,5,1,0,1,0
30,175,1,"1-15% offer",2018,2,1,0,1,1
30,175,1,"1-15% offer",2018,3,1,0,1,0
30,175,1,"1-15% offer",2018,4,1,0,1,0
30,679,1,"1-15% offer",2017,12,0,1,4,1
31,124,1,"15-50% offer",2018,2,1,0,1,0
31,122,1,"15-50% offer",2017,11,0,0,1,0
31,136,1,"15-50% offer",2017,11,1,0,1,0
31,564,1,"15-50% offer",2017,12,0,1,4,0
31,114,1,"15-50% offer",2018,1,1,0,1,0
